bench name,total times (s),vc gen times (s),dec proc times (s),symb exec times (s),postprocess eq (s),SSA times (s),solver times (s),iterations,result (success/fail)
aws_ring_buffer_acquire_up_to,48.958,2.386,41.430,2.244,0.001,0.141,41.286,1,success
aws_ring_buffer_buf_belongs_to_pool,9.661,0.549,4.568,0.511,0.000,0.038,4.529,1,success
aws_ring_buffer_clean_up,5.534,0.169,0.055,0.158,0.000,0.011,0.044,1,success
aws_ring_buffer_init,5.559,0.164,0.033,0.156,0.000,0.008,0.024,1,success
aws_ring_buffer_release,9.698,0.550,4.356,0.500,0.000,0.050,4.305,1,success
aws_round_up_to_power_of_two,3.459,0.007,0.036,0.004,0.000,0.003,0.033,1,success
aws_string_bytes,5.519,0.123,0.406,0.109,0.000,0.014,0.392,1,success
aws_string_compare,7.723,0.487,1.518,0.421,0.000,0.066,1.451,1,success
aws_string_destroy,5.532,0.089,0.173,0.078,0.000,0.011,0.162,1,success
aws_string_destroy_secure,5.532,0.131,0.185,0.114,0.000,0.017,0.168,1,success
aws_string_eq,5.525,0.447,1.117,0.390,0.000,0.057,1.059,1,success
aws_string_eq_byte_buf,5.555,0.517,0.823,0.450,0.000,0.067,0.755,1,success
aws_string_eq_byte_buf_ignore_case,5.547,0.611,1.141,0.448,0.000,0.163,0.977,1,success
aws_string_eq_byte_cursor,5.551,0.487,0.776,0.423,0.000,0.064,0.710,1,success
aws_string_eq_byte_cursor_ignore_case,5.542,0.583,1.149,0.423,0.000,0.160,0.987,1,success
aws_string_eq_c_str,5.924,0.217,0.360,0.182,0.000,0.035,0.324,1,success
aws_string_eq_c_str_ignore_case,5.545,0.333,1.031,0.189,0.000,0.144,0.886,1,success
aws_string_eq_ignore_case,7.615,0.540,1.522,0.386,0.000,0.154,1.367,1,success
aws_string_new_from_array,7.612,0.114,1.713,0.095,0.000,0.019,1.694,1,success
aws_string_new_from_c_str,5.569,0.139,0.385,0.117,0.000,0.022,0.363,1,success
aws_string_new_from_string,9.661,0.274,3.989,0.239,0.000,0.035,3.953,1,success
memcpy_using_uint64,28.149,1.016,24.838,0.355,0.000,0.661,24.176,1,success
memset_override_0,26.112,0.524,22.130,0.275,0.000,0.249,21.880,1,success
memset_using_uint64,36.414,0.541,31.546,0.266,0.000,0.275,31.270,1,success
